City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Puerto Escondido,MX,2021-11-12 22:26:12,15.85,-97.0667,85.03,61,1,4.61
175,Vila Do Maio,CV,2021-11-12 22:31:12,15.1333,-23.2167,75.99,71,51,11.9
176,Bitung,ID,2021-11-12 22:31:12,1.4451,125.1824,76.05,80,100,2.68
177,Ancud,CL,2021-11-12 22:31:12,-41.8697,-73.8203,54.93,88,100,3.15
178,Victoria,HK,2021-11-12 22:30:18,22.2855,114.1577,70.32,54,100,1.99
179,Okha,RU,2021-11-12 22:31:13,53.5739,142.9478,31.78,96,99,13.02
180,Santa Isabel Do Rio Negro,BR,2021-11-12 22:31:14,-0.4139,-65.0192,75.61,95,100,1.36
181,Mahon,ES,2021-11-12 22:31:14,39.8885,4.2658,59.56,88,75,10.36
182,Bara,NG,2021-11-12 22:31:14,10.3744,10.7288,76.42,22,7,2.44
183,Ananas,HT,2021-11-12 22:31:15,19.2466,-71.9557,73.18,82,34,3.94
184,Talkha,EG,2021-11-12 22:31:15,31.0539,31.3779,64.38,61,89,5.82
185,Saskylakh,RU,2021-11-12 22:31:16,71.9167,114.0833,-24.63,98,18,4.97
186,Amga,RU,2021-11-12 22:31:16,60.8953,131.9608,3.02,96,100,1.99
187,Nemuro,JP,2021-11-12 22:28:06,43.3236,145.575,43.95,73,3,18.48
188,Ericeira,PT,2021-11-12 22:31:17,38.9627,-9.4156,58.35,97,5,8.1
189,Sault Sainte Marie,CA,2021-11-12 22:29:59,46.5168,-84.3333,39.76,83,75,0.0
190,Buala,SB,2021-11-12 22:31:17,-8.145,159.5921,85.1,71,67,5.5
191,Albert Lea,US,2021-11-12 22:31:18,43.648,-93.3683,36.32,93,90,13.8
192,Mount Gambier,AU,2021-11-12 22:28:30,-37.8333,140.7667,51.71,76,40,13.8
193,Istok,XK,2021-11-12 22:31:18,42.7808,20.4875,45.16,66,77,1.32
194,Zhangye,CN,2021-11-12 22:31:19,38.9342,100.4517,29.12,35,6,1.21
195,Berlevag,NO,2021-11-12 22:31:19,70.8578,29.0864,21.15,73,20,9.22
196,Vicuna,CL,2021-11-12 22:31:20,-30.0319,-70.7081,75.78,39,0,6.04
197,Aginskoye,RU,2021-11-12 22:31:20,51.1,114.53,26.82,74,39,17.52
198,Dikson,RU,2021-11-12 22:26:33,73.5069,80.5464,9.07,94,100,17.54
199,Dingle,PH,2021-11-12 22:31:21,10.9995,122.6711,78.12,90,81,8.28
200,Lamar,US,2021-11-12 22:31:21,33.6668,-95.5836,64.06,31,1,10.36
201,Gao,ML,2021-11-12 22:31:22,16.6362,1.637,76.8,9,91,10.31
202,Pandaria,IN,2021-11-12 22:31:22,22.2333,81.4167,69.35,80,100,1.81
203,Bairiki,KI,2021-11-12 22:31:22,1.3292,172.9752,86.0,66,20,12.66
204,Waingapu,ID,2021-11-12 22:31:23,-9.6567,120.2641,80.83,79,91,6.51
205,Zhezkazgan,KZ,2021-11-12 22:31:23,47.8043,67.7144,23.59,57,24,7.23
206,Galle,LK,2021-11-12 22:31:24,6.0367,80.217,79.27,82,71,11.45
207,Cove,BJ,2021-11-12 22:31:24,7.221,2.3402,76.37,91,22,4.72
208,Nanortalik,GL,2021-11-12 22:31:25,60.1432,-45.2371,25.3,61,100,3.29
209,East London,ZA,2021-11-12 22:26:28,-33.0153,27.9116,63.54,85,19,3.65
210,Yellowknife,CA,2021-11-12 22:27:23,62.456,-114.3525,29.41,90,90,20.71
211,Sitka,US,2021-11-12 22:31:26,57.0531,-135.33,44.49,87,90,24.16
212,Aswan,EG,2021-11-12 22:28:45,24.0934,32.907,72.9,73,74,20.94
213,Tura,IN,2021-11-12 22:31:26,25.5198,90.2201,59.34,89,34,3.47
214,Saint-Philippe,RE,2021-11-12 22:31:27,-21.3585,55.7679,71.19,80,28,9.1
215,Upernavik,GL,2021-11-12 22:31:27,72.7868,-56.1549,4.8,75,33,8.39
216,Catuday,PH,2021-11-12 22:31:27,16.2923,119.8062,78.94,76,98,10.83
217,Bilibino,RU,2021-11-12 22:28:23,68.0546,166.4372,12.79,97,99,3.11
218,Faya,SA,2021-11-12 22:31:28,18.3851,42.4509,57.31,63,0,1.86
219,Katherine,AU,2021-11-12 22:31:28,-14.4667,132.2667,82.72,61,73,9.22
220,Vilyuysk,RU,2021-11-12 22:31:29,63.7553,121.6247,-3.28,91,100,5.53
221,Lagoa,PT,2021-11-12 22:31:29,39.05,-27.9833,66.56,90,95,18.32
222,Rock Sound,BS,2021-11-12 22:31:30,24.9,-76.2,79.29,74,100,3.53
223,Castro,BR,2021-11-12 22:31:30,-24.7911,-50.0119,55.49,92,30,11.23
224,Pau Brasil,BR,2021-11-12 22:31:30,-15.4642,-39.6511,71.02,95,71,5.28
225,Xam Nua,LA,2021-11-12 22:31:31,20.4197,104.0439,56.03,91,100,2.37
226,Hasaki,JP,2021-11-12 22:31:31,35.7333,140.8333,45.0,65,25,15.03
227,Tabou,CI,2021-11-12 22:31:32,4.423,-7.3528,78.17,88,84,7.31
228,Kuala Terengganu,MY,2021-11-12 22:31:32,5.3302,103.1408,75.15,100,20,2.3
229,Mehamn,NO,2021-11-12 22:31:32,71.0357,27.8492,21.11,79,0,13.8
230,Fare,PF,2021-11-12 22:27:10,-16.7,-151.0167,78.28,66,44,9.42
231,Codrington,AU,2021-11-12 22:31:33,-38.2667,141.9667,51.49,66,100,15.9
232,Uige,AO,2021-11-12 22:31:33,-7.6087,15.0613,66.36,94,100,2.71
233,Vanimo,PG,2021-11-12 22:31:34,-2.6741,141.3028,82.35,79,92,3.62
234,Rocha,UY,2021-11-12 22:31:34,-34.4833,-54.3333,57.78,69,100,10.33
235,Petropavlovsk-Kamchatskiy,RU,2021-11-12 22:31:35,53.0452,158.6483,37.99,100,90,4.47
236,Khalkhal,IR,2021-11-12 22:31:35,37.6189,48.5258,30.18,96,75,4.88
237,Boffa,GN,2021-11-12 22:31:35,10.1667,-14.0333,73.51,83,96,4.83
238,Santa Fe,AR,2021-11-12 22:31:36,-31.6333,-60.7,83.01,30,0,1.99
239,Saint-Pierre,RE,2021-11-12 22:28:11,-21.3393,55.4781,71.28,68,0,4.61
240,Hovd,MN,2021-11-12 22:31:36,48.0056,91.6419,26.96,23,100,8.1
241,Bambanglipuro,ID,2021-11-12 22:26:45,-7.95,110.2833,76.44,90,100,1.88
242,Katangli,RU,2021-11-12 22:31:37,51.7102,143.2326,30.4,87,97,8.21
243,Emba,KZ,2021-11-12 22:31:37,48.8264,58.1442,29.39,44,100,15.97
244,Cockburn Town,TC,2021-11-12 22:31:38,21.4612,-71.1419,81.79,77,28,18.41
245,Umm Kaddadah,SD,2021-11-12 22:31:38,13.6017,26.6876,77.5,16,22,10.56
246,Bethel,US,2021-11-12 22:31:39,41.3712,-73.414,57.92,90,1,0.0
247,Kaitangata,NZ,2021-11-12 22:31:39,-46.2817,169.8464,55.92,88,100,8.95
248,Iquique,CL,2021-11-12 22:29:12,-20.2208,-70.1431,64.44,75,95,8.66
249,Lima,PE,2021-11-12 22:29:23,-12.0432,-77.0282,68.9,74,90,14.97
250,Aklavik,CA,2021-11-12 22:31:40,68.2191,-135.0107,7.52,94,100,12.39
251,Preili,LV,2021-11-12 22:31:40,56.2944,26.7246,35.08,97,18,5.28
252,Kyotera,UG,2021-11-12 22:31:41,-0.6156,31.5175,61.34,90,80,6.08
253,Vadakku Valliyur,IN,2021-11-12 22:31:41,8.3833,77.65,74.84,93,99,6.24
254,Sorland,NO,2021-11-12 22:31:41,67.667,12.6934,37.47,60,100,17.87
255,Corinto,GR,2021-11-12 22:31:42,37.9407,22.9573,56.68,76,0,0.69
256,Yarim,YE,2021-11-12 22:31:42,14.298,44.3779,49.68,32,20,5.68
257,Chicama,PE,2021-11-12 22:26:49,-7.8447,-79.1469,63.14,69,59,9.53
258,Fortuna Foothills,US,2021-11-12 22:31:43,32.6578,-114.4119,89.69,14,1,4.0
259,Abu Zabad,SD,2021-11-12 22:31:43,12.35,29.25,80.17,19,4,8.1
260,Belle Fourche,US,2021-11-12 22:31:21,44.6714,-103.8522,43.34,30,43,3.89
261,Juri,KR,2021-11-12 22:31:44,35.7504,128.6249,30.96,80,40,1.14
262,Comodoro Rivadavia,AR,2021-11-12 22:31:44,-45.8667,-67.5,66.06,27,0,9.22
263,Beyneu,KZ,2021-11-12 22:31:44,45.3167,55.2,30.7,39,73,10.56
264,Wilmington,US,2021-11-12 22:28:06,34.2257,-77.9447,69.01,63,100,1.99
265,Ajdabiya,LY,2021-11-12 22:31:45,30.7554,20.2263,66.52,58,4,6.8
266,Mahebourg,MU,2021-11-12 22:31:46,-20.4081,57.7,73.26,88,20,4.61
